100 9e-05
600 0.004555
1100 0.011433
1600 0.014282
2100 0.021336
2600 0.032955
3100 0.037271
3600 0.046984
4100 0.061412
4600 0.102655
5100 0.139461
5600 0.149922
6100 0.171262
6600 0.208016
7100 0.229932
7600 0.245249
8100 0.289875
8600 0.348981
9100 0.388521
9600 0.493481
10100 0.470655
10600 0.512421
11100 0.53632
11600 0.610971
12100 0.668543
12600 0.726247
13100 0.755975
13600 0.81769
14100 0.877903
14600 0.946773
15100 1.01248
15600 1.12091
16100 1.15708
16600 1.23481
17100 1.31451
17600 1.44842
18100 1.48362
18600 1.56435
19100 1.65005
19600 1.73464
20100 1.86758
20600 1.96132
21100 2.05946
21600 2.14815
22100 2.23335
22600 2.43447
23100 2.45201
23600 2.58322
24100 2.68661
24600 2.79745
25100 2.93846
25600 3.00273
26100 3.17168
26600 3.25323
27100 3.37882
27600 3.5071
28100 3.66738
28600 3.79424
29100 3.89767
29600 4.05701
