100 0.000111
600 0.006054
1100 0.011231
1600 0.020846
2100 0.027457
2600 0.035666
3100 0.044531
3600 0.052515
4100 0.08654
4600 0.119043
5100 0.137446
5600 0.171264
6100 0.194761
6600 0.177398
7100 0.23588
7600 0.234381
8100 0.2871
8600 0.327288
9100 0.355347
9600 0.41768
10100 0.418093
10600 0.455405
11100 0.559756
11600 0.583037
12100 0.635166
12600 0.684835
13100 0.699749
13600 0.750885
14100 0.807829
14600 0.865354
15100 0.970602
15600 1.03904
16100 1.05846
16600 1.12137
17100 1.21425
17600 1.25796
18100 1.35748
18600 1.43864
19100 1.48069
19600 1.59653
20100 1.6884
20600 1.71997
21100 1.8176
21600 1.89594
22100 1.98268
22600 2.11846
23100 2.23393
23600 2.26861
24100 2.39793
24600 2.46602
25100 2.58785
25600 2.72892
26100 2.86789
26600 2.91424
27100 2.99959
27600 3.12103
28100 3.23972
28600 3.52735
29100 3.61813
29600 3.67607
