100 0.000175
600 0.003536
1100 0.00944
1600 0.019031
2100 0.023661
2600 0.037353
3100 0.041369
3600 0.050517
4100 0.066061
4600 0.082473
5100 0.123882
5600 0.143292
6100 0.188256
6600 0.169392
7100 0.224224
7600 0.238187
8100 0.268612
8600 0.286993
9100 0.324257
9600 0.35719
10100 0.422878
10600 0.472685
11100 0.49035
11600 0.550797
12100 0.571043
12600 0.674804
13100 0.690135
13600 0.752831
14100 0.793933
14600 0.829412
15100 0.880661
15600 0.984402
16100 1.00424
16600 1.10483
17100 1.13815
17600 1.20446
18100 1.31211
18600 1.3741
19100 1.41994
19600 1.59875
20100 1.57414
20600 1.73646
21100 1.71791
21600 1.82037
22100 1.92921
22600 1.99948
23100 2.07087
23600 2.18251
24100 2.28169
24600 2.39833
25100 2.47485
25600 2.58975
26100 2.67811
26600 2.81226
27100 2.92074
27600 3.06131
28100 3.22875
28600 3.62391
29100 3.52328
29600 3.55429
